资源环境与安全类,环境保护类,520803,室内环境检测与控制技术,
资源环境与安全类,环境保护类,520804,环境工程技术,
资源环境与安全类,环境保护类,520805,环境信息技术,
资源环境与安全类,环境保护类,520806,核与辐射检测防护技术,
资源环境与安全类,环境保护类,520807,环境规划与管理,
资源环境与安全类,环境保护类,520808,环境评价与咨询服务,
资源环境与安全类,环境保护类,520809,污染修复与生态工程技术,
资源环境与安全类,环境保护类,520810,清洁生产与减排技术,
资源环境与安全类,环境保护类,520811,资源综合利用与管理技术,
资源环境与安全类,安全类,520901,安全健康与环保,
资源环境与安全类,安全类,520902,化工安全技术,
资源环境与安全类,安全类,520903,救援技术,
资源环境与安全类,安全类,520904,安全技术与管理,
资源环境与安全类,安全类,520905,工程安全评价与监理,
资源环境与安全类,安全类,520906,安全生产监测监控,
资源环境与安全类,安全类,520907,职业卫生技术与管理,
能源动力与材料类,电力技术类,530101,发电厂及电力系统,
能源动力与材料类,电力技术类,530102,供用电技术,
能源动力与材料类,电力技术类,530103,电力系统自动化技术,
能源动力与材料类,电力技术类,530104,高压输配电线路施工运行与维护,
能源动力与材料类,电力技术类,530105,电力系统继电保护与自动化技术,
能源动力与材料类,电力技术类,530106,水电站机电设备与自动化,
能源动力与材料类,电力技术类,530107,电网监控技术,
能源动力与材料类,电力技术类,530108,电力客户服务与管理,
能源动力与材料类,电力技术类,530109,水电站与电力网,
能源动力与材料类,电力技术类,530110,电源变换技术与应用,
能源动力与材料类,电力技术类,530111,农业电气化技术,
能源动力与材料类,电力技术类,530112,分布式发电与微电网技术,
能源动力与材料类,电力技术类,530113,机场电工技术,2016年增补,
能源动力与材料类,热能与发电工程类,530201,电厂热能动力装置,
能源动力与材料类,热能与发电工程类,530202,城市热能应用技术,
能源动力与材料类,热能与发电工程类,530203,核电站动力设备运行与维护,
能源动力与材料类,热能与发电工程类,530204,火电厂集控运行,
能源动力与材料类,热能与发电工程类,530205,电厂化学与环保技术,
能源动力与材料类,热能与发电工程类,530206,电厂热工自动化技术,
能源动力与材料类,新能源发电工程类,530301,风力发电工程技术,
能源动力与材料类,新能源发电工程类,530302,风电系统运行与维护,
能源动力与材料类,新能源发电工程类,530303,生物质能应用技术,
能源动力与材料类,新能源发电工程类,530304,光伏发电技术与应用,
能源动力与材料类,新能源发电工程类,530305,工业节能技术,
能源动力与材料类,新能源发电工程类,530306,节电技术与管理,
能源动力与材料类,新能源发电工程类,530307,太阳能光热技术与应用,
能源动力与材料类,新能源发电工程类,530308,农村能源与环境技术,
能源动力与材料类,黑色金属材料类,530401,黑色冶金技术,
能源动力与材料类,黑色金属材料类,530402,轧钢工程技术,
能源动力与材料类,黑色金属材料类,530403,钢铁冶金设备应用技术,
能源动力与材料类,黑色金属材料类,530404,金属材料质量检测,
能源动力与材料类,黑色金属材料类,530405,铁矿资源综合利用,
能源动力与材料类,有色金属材料类,530501,有色冶金技术,
能源动力与材料类,有色金属材料类,530502,有色冶金设备应用技术,
能源动力与材料类,有色金属材料类,530503,金属压力加工,
能源动力与材料类,有色金属材料类,530504,金属精密成型技术,
能源动力与材料类,非金属材料类,530601,材料工程技术,
能源动力与材料类,非金属材料类,530602,高分子材料工程技术,
能源动力与材料类,非金属材料类,530603,复合材料工程技术,
能源动力与材料类,非金属材料类,530604,非金属矿物材料技术,
能源动力与材料类,非金属材料类,530605,光伏材料制备技术,
能源动力与材料类,非金属材料类,530606,炭素加工技术,
能源动力与材料类,非金属材料类,530607,硅材料制备技术,
能源动力与材料类,非金属材料类,530608,橡胶工程技术,
能源动力与材料类,建筑材料类,530701,建筑材料工程技术,
能源动力与材料类,建筑材料类,530702,建筑材料检测技术,
能源动力与材料类,建筑材料类,530703,建筑装饰材料技术,
能源动力与材料类,建筑材料类,530704,建筑材料设备应用,
能源动力与材料类,建筑材料类,530705,新型建筑材料技术,
能源动力与材料类,建筑材料类,530706,建筑材料生产与管理,
土木建筑类,建筑设计类,540101,建筑设计,
土木建筑类,建筑设计类,540102,建筑装饰工程技术,
土木建筑类,建筑设计类,540103,古建筑工程技术,
土木建筑类,建筑设计类,540104,建筑室内设计,
土木建筑类,建筑设计类,540105,风景园林设计,
土木建筑类,建筑设计类,540106,园林工程技术,
土木建筑类,建筑设计类,540107,建筑动画与模型制作,
土木建筑类,城乡规划与管理类,540201,城乡规划,
土木建筑类,城乡规划与管理类,540202,村镇建设与管理,
土木建筑类,城乡规划与管理类,540203,城市信息化管理,
土木建筑类,土建施工类,540301,建筑工程技术,
土木建筑类,土建施工类,540302,地下与隧道工程技术,
土木建筑类,土建施工类,540303,土木工程检测技术,
土木建筑类,土建施工类,540304,建筑钢结构工程技术,
土木建筑类,建筑设备类,540401,建筑设备工程技术,
土木建筑类,建筑设备类,540402,供热通风与空调工程技术,
土木建筑类,建筑设备类,540403,建筑电气工程技术,
土木建筑类,建筑设备类,540404,建筑智能化工程技术,
土木建筑类,建筑设备类,540405,工业设备安装工程技术,
土木建筑类,建筑设备类,540406,消防工程技术,
土木建筑类,建设工程管理类,540501,建设工程管理,
土木建筑类,建设工程管理类,540502,工程造价,
土木建筑类,建设工程管理类,540503,建筑经济管理,
土木建筑类,建设工程管理类,540504,建设项目信息化管理,
土木建筑类,建设工程管理类,540505,建设工程监理,
土木建筑类,市政工程类,540601,市政工程技术,
土木建筑类,市政工程类,540602,城市燃气工程技术,
土木建筑类,市政工程类,540603,给排水工程技术,
土木建筑类,市政工程类,540604,环境卫生工程技术,
土木建筑类,房地产类,540701,房地产经营与管理,
土木建筑类,房地产类,540702,房地产检测与估价,
土木建筑类,房地产类,540703,物业管理,
水利类,水文水资源类,550101,水文与水资源工程,
水利类,水文水资源类,550102,水文测报技术,
水利类,水文水资源类,550103,水政水资源管理,
水利类,水利工程与管理类,550201,水利工程,
水利类,水利工程与管理类,550202,水利水电工程技术,
水利类,水利工程与管理类,550203,水利水电工程管理,
水利类,水利工程与管理类,550204,水利水电建筑工程,
水利类,水利工程与管理类,550205,机电排灌工程技术,
水利类,水利工程与管理类,550206,港口航道与治河工程,
水利类,水利工程与管理类,550207,水务管理,
水利类,水利水电设备类,550301,水电站动力设备,
水利类,水利水电设备类,550302,水电站电气设备,
水利类,水利水电设备类,550303,水电站运行与管理,
水利类,水利水电设备类,550304,水利机电设备运行与管理,
水利类,水土保持与水环境类,550401,水土保持技术,
水利类,水土保持与水环境类,550402,水环境监测与治理,
装备制造类,机械设计制造类,560101,机械设计与制造,
装备制造类,机械设计制造类,560102,机械制造与自动化,
装备制造类,机械设计制造类,560103,数控技术,
装备制造类,机械设计制造类,560104,精密机械技术,
装备制造类,机械设计制造类,560105,特种加工技术,
装备制造类,机械设计制造类,560106,材料成型与控制技术,
装备制造类,机械设计制造类,560107,金属材料与热处理技术,
装备制造类,机械设计制造类,560108,铸造技术,
装备制造类,机械设计制造类,560109,锻压技术,
装备制造类,机械设计制造类,560110,焊接技术与自动化,
装备制造类,机械设计制造类,560111,机械产品检测检验技术,
装备制造类,机械设计制造类,560112,理化测试与质检技术,
装备制造类,机械设计制造类,560113,模具设计与制造,
装备制造类,机械设计制造类,560114,电机与电器技术,
装备制造类,机械设计制造类,560115,电线电缆制造技术,
装备制造类,机械设计制造类,560116,内燃机制造与维修,
装备制造类,机械设计制造类,560117,机械装备制造技术,
装备制造类,机械设计制造类,560118,工业设计,
装备制造类,机械设计制造类,560119,工业工程技术,
装备制造类,机电设备类,560201,自动化生产设备应用,
装备制造类,机电设备类,560202,机电设备安装技术,
装备制造类,机电设备类,560203,机电设备维修与管理,
装备制造类,机电设备类,560204,数控设备应用与维护,
装备制造类,机电设备类,560205,制冷与空调技术,
装备制造类,机电设备类,560206,光电制造与应用技术,
装备制造类,机电设备类,560207,新能源装备技术,
装备制造类,自动化类,560301,机电一体化技术,
装备制造类,自动化类,560302,电气自动化技术,
装备制造类,自动化类,560303,工业过程自动化技术,
装备制造类,自动化类,560304,智能控制技术,
装备制造类,自动化类,560305,工业网络技术,
装备制造类,自动化类,560306,工业自动化仪表,
装备制造类,自动化类,560307,液压与气动技术,
装备制造类,自动化类,560308,电梯工程技术,
装备制造类,自动化类,560309,工业机器人技术,
装备制造类,铁道装备类,560401,铁道机车车辆制造与维护,
装备制造类,铁道装备类,560402,铁道通信信号设备制造与维护,
